id_1,index_1,id_2,index_2
H1106_A,0,H1106_B,0
sp|P0C2N4|YSCX_YEREN_1-122,1,sp|P0C2N2|YSCY_YEREN_1-114,1
tr|A0A0H3NZW9|A0A0H3NZW9_YERE1_1-122,2,tr|A0A0H3NWD0|A0A0H3NWD0_YERE1_1-114,2
sp|P61416|YSCX_YERPE_1-122,3,sp|P61417|YSCY_YERPE_1-114,3
tr|A0A0E1NL21|A0A0E1NL21_YERPA_1-122,4,tr|A0A0E1NQU0|A0A0E1NQU0_YERPA_1-114,4
tr|A0A6M1QK73|A0A6M1QK73_YEREN_1-122,5,tr|A0A6M1QKF8|A0A6M1QKF8_YEREN_1-114,5
tr|A0A380SC22|A0A380SC22_YERPE_1-122,6,tr|A0A380SCB9|A0A380SCB9_YERPE_1-114,6
sp|A1JU78|YSCX_YERE8_1-122,7,sp|A1JU77|YSCY_YERE8_1-113,7
tr|A0A3G5L5E7|A0A3G5L5E7_YERPE_1-122,8,tr|A0A3G5L7A2|A0A3G5L7A2_YERPE_1-114,8
tr|A0A485E4W1|A0A485E4W1_YEREN_1-122,9,tr|A0A485E3W5|A0A485E3W5_YEREN_1-114,9
tr|A0A0N9NLE6|A0A0N9NLE6_YERPU_1-122,10,tr|A0A0N9NB02|A0A0N9NB02_YERPU_1-112,10
tr|A0A5P8S108|A0A5P8S108_YERPE_1-122,11,tr|A0A5P8S346|A0A5P8S346_YERPE_1-114,11
tr|E8PSP2|E8PSP2_YERPE_1-122,12,tr|E8PSP1|E8PSP1_YERPE_1-114,12
tr|Q663K4|Q663K4_YERPS_1-122,13,tr|Q663K5|Q663K5_YERPS_1-114,13
tr|A0A0W7U418|A0A0W7U418_9GAMM_1-121,14,tr|A0A0S2SFP7|A0A0S2SFP7_9GAMM_1-111,14
tr|A0A3S4SWC6|A0A3S4SWC6_9GAMM_2-121,15,tr|A0A448KY89|A0A448KY89_9GAMM_1-113,15
tr|A0A1Q8F9A0|A0A1Q8F9A0_9GAMM_2-121,16,tr|A0A7D5SRK4|A0A7D5SRK4_9GAMM_1-113,16
tr|A0A142E283|A0A142E283_9GAMM_2-121,17,tr|A0A6G6NEV0|A0A6G6NEV0_9GAMM_2-111,17
tr|A0A653L440|A0A653L440_9GAMM_2-121,18,tr|A0A840MCJ0|A0A840MCJ0_9GAMM_2-111,18
tr|A0A7X5SJL6|A0A7X5SJL6_9GAMM_2-121,19,tr|A0A7T2UQ26|A0A7T2UQ26_9GAMM_1-113,19
tr|A0A7Z3TRG0|A0A7Z3TRG0_9GAMM_2-121,20,tr|A0A7Z3TRE6|A0A7Z3TRE6_9GAMM_1-113,20
tr|A5Y863|A5Y863_9GAMM_2-121,21,tr|A5Y864|A5Y864_9GAMM_1-113,21
tr|A4SUH4|A4SUH4_AERS4_2-121,22,tr|A4SUH3|A4SUH3_AERS4_1-113,22
tr|A0A6I6RAU0|A0A6I6RAU0_9GAMM_2-121,23,tr|A0A142E284|A0A142E284_9GAMM_2-111,23
tr|Q8GA93|Q8GA93_AERSA_2-121,24,tr|Q8GA92|Q8GA92_AERSA_1-113,24
tr|A0A8B3J0G7|A0A8B3J0G7_AERSA_2-121,25,tr|A0A8B3J0F0|A0A8B3J0F0_AERSA_3-111,25
tr|A0A7V9WVY7|A0A7V9WVY7_9GAMM_2-121,26,tr|A0A2T4N7W2|A0A2T4N7W2_9GAMM_2-111,26
tr|A0A2T4N7Y8|A0A2T4N7Y8_9GAMM_2-121,27,tr|A0A6I6R8W3|A0A6I6R8W3_9GAMM_1-113,27
tr|A0A6S5C6M6|A0A6S5C6M6_9GAMM_2-121,28,tr|A0A3S0WYD3|A0A3S0WYD3_9GAMM_3-111,28
tr|A0A1E4WZN4|A0A1E4WZN4_9GAMM_2-121,29,tr|A0A1E4WZU8|A0A1E4WZU8_9GAMM_2-111,29
tr|A0A7G7FFF2|A0A7G7FFF2_AERHY_2-121,30,tr|Q5XL08|Q5XL08_AERHY_2-112,30
tr|A0A2R7PXL6|A0A2R7PXL6_9GAMM_2-121,31,tr|A0A2R7PXI1|A0A2R7PXI1_9GAMM_2-111,31
tr|A0A2M8HCH8|A0A2M8HCH8_9GAMM_2-121,32,tr|A0A2M8HCH4|A0A2M8HCH4_9GAMM_2-111,32
tr|A0A433LNL9|A0A433LNL9_9GAMM_2-121,33,tr|A0A6S5CGI5|A0A6S5CGI5_9GAMM_2-111,33
tr|Q5CCA2|Q5CCA2_AERSO_2-121,34,tr|A0A2N3J1D0|A0A2N3J1D0_AERSO_2-111,34
tr|A0A6G6NEP0|A0A6G6NEP0_9GAMM_2-121,35,tr|A0A1Q8F984|A0A1Q8F984_9GAMM_2-111,35
tr|A0A807ZFY8|A0A807ZFY8_AERSA_2-121,36,tr|A0A807ZGY3|A0A807ZGY3_AERSA_2-111,36
tr|A0A0T6ULG9|A0A0T6ULG9_9GAMM_2-121,37,tr|A0A0T6UL75|A0A0T6UL75_9GAMM_2-111,37
tr|A0A7U5BLD9|A0A7U5BLD9_AERHY_4-121,38,tr|Q699R4|Q699R4_AERHY_1-113,38
tr|A0A433GHK2|A0A433GHK2_9GAMM_2-121,39,tr|A0A433GHI4|A0A433GHI4_9GAMM_3-111,39
tr|A0A7T2PJ05|A0A7T2PJ05_9GAMM_2-121,40,tr|A0A7X5SKL7|A0A7X5SKL7_9GAMM_2-111,40
tr|A0A4P7IR35|A0A4P7IR35_AERHY_2-121,41,tr|Q6TLM6|Q6TLM6_AERHY_1-113,41
tr|A0A7D5TET0|A0A7D5TET0_9GAMM_2-121,42,tr|A0A653L256|A0A653L256_9GAMM_2-111,42
tr|K1KA70|K1KA70_9GAMM_2-121,43,tr|K1JPI0|K1JPI0_9GAMM_3-110,43
tr|Q6TLM7|Q6TLM7_AERHY_5-124,44,tr|A0A7U5BLC4|A0A7U5BLC4_AERHY_2-111,44
tr|N9U4T0|N9U4T0_9GAMM_2-121,45,tr|N9U4P8|N9U4P8_9GAMM_3-110,45
tr|A0A7R8GK66|A0A7R8GK66_AERJA_2-121,46,tr|A0A2S5FEI8|A0A2S5FEI8_AERJA_3-110,46
tr|A0A3S7DJW5|A0A3S7DJW5_9GAMM_2-121,47,tr|A0A3S7DJQ9|A0A3S7DJQ9_9GAMM_3-111,47
tr|A0A2P1P193|A0A2P1P193_AERHY_2-121,48,tr|A0A4V1BN90|A0A4V1BN90_AERHY_2-111,48
tr|A0A3N6XP09|A0A3N6XP09_AERJA_2-121,49,tr|A0A3N6UU81|A0A3N6UU81_AERJA_4-110,49
tr|A0A8A7K7S5|A0A8A7K7S5_AERJA_2-121,50,tr|A0A7R8GJY4|A0A7R8GJY4_AERJA_3-110,50
tr|Q5XL09|Q5XL09_AERHY_2-121,51,tr|A0A7U5VUE5|A0A7U5VUE5_AERHY_2-111,51
tr|A0A2S5FEV7|A0A2S5FEV7_AERJA_2-121,52,tr|A0A8A7JY38|A0A8A7JY38_AERJA_3-110,52
tr|A0A0D0R0L8|A0A0D0R0L8_9GAMM_2-121,53,tr|A0A0D0QR63|A0A0D0QR63_9GAMM_3-110,53
tr|A0A4R4K4B6|A0A4R4K4B6_9GAMM_2-121,54,tr|A0A4R4K496|A0A4R4K496_9GAMM_2-104,54
tr|A0A7X5TEP2|A0A7X5TEP2_9GAMM_1-121,55,tr|A0A7X5TGH3|A0A7X5TGH3_9GAMM_2-104,55
tr|A0A5B0X6A0|A0A5B0X6A0_9GAMM_1-121,56,tr|A0A5B0X8B0|A0A5B0X8B0_9GAMM_2-104,56
tr|A0A1C0U9P7|A0A1C0U9P7_9GAMM_1-121,57,tr|A0A1C0U9L8|A0A1C0U9L8_9GAMM_2-104,57
tr|A0A081S1S8|A0A081S1S8_PHOTE_1-121,58,tr|A0A081S1S7|A0A081S1S7_PHOTE_2-104,58
tr|A0A2S8QT04|A0A2S8QT04_PHOLU_3-121,59,tr|A0A1G5PY22|A0A1G5PY22_PHOLU_1-105,59
tr|A0A7C9KSY9|A0A7C9KSY9_9GAMM_2-121,60,tr|A0A7C9KR12|A0A7C9KR12_9GAMM_2-104,60
tr|A0A0F7LKF3|A0A0F7LKF3_9GAMM_1-121,61,tr|A0A0F7LHZ7|A0A0F7LHZ7_9GAMM_2-104,61
tr|W3VBM9|W3VBM9_9GAMM_2-121,62,tr|W3VDS3|W3VDS3_9GAMM_2-104,62
tr|T0P200|T0P200_PHOTE_1-121,63,tr|T0QH35|T0QH35_PHOTE_2-104,63
tr|B6VK31|B6VK31_PHOAA_1-121,64,tr|B6VK30|B6VK30_PHOAA_2-104,64
tr|A0A1B8YMB7|A0A1B8YMB7_9GAMM_3-121,65,tr|A0A1B8YMA7|A0A1B8YMA7_9GAMM_1-105,65
tr|A0A0A0CS73|A0A0A0CS73_PHOLU_3-121,66,tr|A0A2S8Q9X9|A0A2S8Q9X9_PHOLU_2-103,66
tr|U7QXR0|U7QXR0_PHOTE_1-121,67,tr|U7QX52|U7QX52_PHOTE_2-104,67
tr|A0A5C4RPD8|A0A5C4RPD8_PHOLU_3-121,68,tr|A0A5C4RN72|A0A5C4RN72_PHOLU_2-103,68
tr|A0A4R4JBM4|A0A4R4JBM4_PHOLU_3-121,69,tr|A0A4R4JF31|A0A4R4JF31_PHOLU_2-103,69
tr|A0A1G5PYL3|A0A1G5PYL3_PHOLU_3-121,70,tr|A0A2S8Q4W4|A0A2S8Q4W4_PHOLU_2-104,70
tr|A0A7X5QK32|A0A7X5QK32_9GAMM_1-121,71,tr|A0A7X5QJZ6|A0A7X5QJZ6_9GAMM_2-104,71
tr|A0A022PSV2|A0A022PSV2_9GAMM_3-121,72,tr|A0A022PNR7|A0A022PNR7_9GAMM_1-105,72
tr|A0A263NZL9|A0A263NZL9_9PSED_2-121,73,tr|A0A263P0R6|A0A263P0R6_9PSED_5-110,73
tr|A0A2G0YLB0|A0A2G0YLB0_9PSED_2-121,74,tr|A0A2G0YK70|A0A2G0YK70_9PSED_5-110,74
tr|A0A0J6IQI7|A0A0J6IQI7_9PSED_2-121,75,tr|A0A0J6LIS7|A0A0J6LIS7_9PSED_2-108,75
tr|A0A7Y1QM54|A0A7Y1QM54_9PSED_2-121,76,tr|A0A7Y1QL06|A0A7Y1QL06_9PSED_5-110,76
tr|A0A329X8Z4|A0A329X8Z4_9GAMM_3-121,77,tr|A0A329X886|A0A329X886_9GAMM_2-103,77
tr|A0A5B2V4H9|A0A5B2V4H9_9PSED_2-121,78,tr|A0A5B2V5J8|A0A5B2V5J8_9PSED_5-110,78
tr|A0A7X5K8M2|A0A7X5K8M2_9GAMM_3-121,79,tr|A0A7X5K9P9|A0A7X5K9P9_9GAMM_2-103,79
tr|A0A4R7PH35|A0A4R7PH35_PHOTE_1-121,80,tr|A0A4R7PHC5|A0A4R7PHC5_PHOTE_2-104,80
tr|V6AHI1|V6AHI1_PSEAI_45-163,81,tr|V6AHF2|V6AHF2_PSEAI_2-106,81
tr|A0A6L9JHR3|A0A6L9JHR3_PHOLM_3-121,82,tr|A0A6L9JPR2|A0A6L9JPR2_PHOLM_2-103,82
tr|Q7N0W6|Q7N0W6_PHOLL_3-121,83,tr|Q7N0W7|Q7N0W7_PHOLL_2-103,83
tr|A0A119A0Q7|A0A119A0Q7_9PSED_2-121,84,tr|A0A119A0R2|A0A119A0R2_9PSED_2-108,84
tr|O30534|O30534_PSEAI_3-121,85,tr|A0A0C7AGS8|A0A0C7AGS8_PSEAI_2-106,85
tr|A0A329VME3|A0A329VME3_9GAMM_3-121,86,tr|A0A329VLD2|A0A329VLD2_9GAMM_2-103,86
tr|A0A329VU28|A0A329VU28_9GAMM_3-121,87,tr|A0A329VTT2|A0A329VTT2_9GAMM_2-103,87
tr|A0A329VS23|A0A329VS23_9GAMM_3-121,88,tr|A0A329VWA2|A0A329VWA2_9GAMM_2-103,88
tr|A0A2S8Q4T2|A0A2S8Q4T2_PHOLU_3-121,89,tr|A0A2S8QSV7|A0A2S8QSV7_PHOLU_2-103,89
tr|G3XD37|G3XD37_PSEAE_3-121,90,tr|Q9I328|Q9I328_PSEAE_2-106,90
tr|A0A329W3I0|A0A329W3I0_9GAMM_3-121,91,tr|A0A329W8U4|A0A329W8U4_9GAMM_2-103,91
tr|A0A5E9KK29|A0A5E9KK29_PSEAI_3-121,92,tr|O30535|O30535_PSEAI_2-106,92
tr|A0A3S4RMA9|A0A3S4RMA9_PSEFL_3-121,93,tr|A0A423LHM5|A0A423LHM5_PSEFL_5-110,93
tr|A0A1F0I0E6|A0A1F0I0E6_9PSED_3-121,94,tr|A0A1F0I0I5|A0A1F0I0I5_9PSED_2-106,94
tr|A0A0H2Z8F6|A0A0H2Z8F6_PSEAB_3-121,95,tr|A0A0H2Z9F6|A0A0H2Z9F6_PSEAB_2-106,95
tr|A0A643ISD7|A0A643ISD7_PSEAI_3-121,96,tr|A0A643IWI4|A0A643IWI4_PSEAI_2-106,96
tr|A0A6N0KHE7|A0A6N0KHE7_9PSED_3-121,97,tr|A0A6N0KJQ3|A0A6N0KJQ3_9PSED_2-106,97
tr|Q84GZ0|Q84GZ0_PHOLU_3-121,98,tr|A0A0A0CQC2|A0A0A0CQC2_PHOLU_2-104,98
tr|A0A1C7BGG6|A0A1C7BGG6_PSEAI_3-121,99,tr|A0A1C7BHG8|A0A1C7BHG8_PSEAI_2-106,99
tr|A0A423LHN4|A0A423LHN4_PSEFL_2-121,100,tr|A0A448BMW4|A0A448BMW4_PSEFL_2-106,100
tr|A0A0A8RL30|A0A0A8RL30_PSEAI_3-121,101,tr|A0A7M3AQ06|A0A7M3AQ06_PSEAI_2-106,101
tr|A0A2N0DS92|A0A2N0DS92_9PSED_2-121,102,tr|A0A2N0DSA5|A0A2N0DSA5_9PSED_5-110,102
tr|A0A6N3UIH8|A0A6N3UIH8_PSESP_2-121,103,tr|A0A6N3UH84|A0A6N3UH84_PSESP_4-108,103
tr|A0A7Y1EQL8|A0A7Y1EQL8_9PSED_2-121,104,tr|A0A1D9IKW3|A0A1D9IKW3_9PSED_4-108,104
tr|A0A166JEZ9|A0A166JEZ9_9VIBR_1-124,105,tr|A0A165ZHA1|A0A165ZHA1_9VIBR_4-106,105
tr|A0A1B9PSC1|A0A1B9PSC1_9VIBR_1-124,106,tr|A0A1B9PSE6|A0A1B9PSE6_9VIBR_4-106,106
tr|A0A0D0JCT3|A0A0D0JCT3_VIBHA_1-124,107,tr|A0A0D0J8M2|A0A0D0J8M2_VIBHA_4-106,107
tr|A0A2A2NDJ1|A0A2A2NDJ1_9VIBR_1-124,108,tr|A0A2A2ND08|A0A2A2ND08_9VIBR_4-106,108
tr|A0A7X5FIM1|A0A7X5FIM1_9VIBR_1-124,109,tr|A0A7X5FIG6|A0A7X5FIG6_9VIBR_4-106,109
tr|A0A2T3QCT0|A0A2T3QCT0_9GAMM_1-124,110,tr|A0A2T3QCQ2|A0A2T3QCQ2_9GAMM_4-104,110
tr|A0A2N7N4X3|A0A2N7N4X3_9VIBR_1-124,111,tr|A0A2N7N4W8|A0A2N7N4W8_9VIBR_4-106,111
tr|D0XFN4|D0XFN4_VIBH1_1-124,112,tr|D0XFN5|D0XFN5_VIBH1_4-105,112
tr|A0A807LL90|A0A807LL90_9VIBR_1-124,113,tr|A0A0A3EPT8|A0A0A3EPT8_9VIBR_4-106,113
tr|A0A7V7NQI4|A0A7V7NQI4_9VIBR_1-124,114,tr|A0A7V7TGK0|A0A7V7TGK0_9VIBR_4-106,114
tr|Q6QVR7|Q6QVR7_VIBHA_1-124,115,tr|A0A454CV65|A0A454CV65_VIBHA_4-105,115
tr|A0A812GDU9|A0A812GDU9_9VIBR_1-124,116,tr|A0A812FLU1|A0A812FLU1_9VIBR_4-106,116
tr|A8T5K9|A8T5K9_9VIBR_2-124,117,tr|A8T5K7|A8T5K7_9VIBR_4-105,117
tr|K5TZL7|K5TZL7_VIBHA_1-124,118,tr|Q6QVR8|Q6QVR8_VIBHA_4-106,118
tr|Q66PU0|Q66PU0_PHODP_1-124,119,tr|Q66PT9|Q66PT9_PHODP_4-104,119
tr|E3BLV1|E3BLV1_9VIBR_1-124,120,tr|E3BLV2|E3BLV2_9VIBR_4-105,120
tr|A7MZ80|A7MZ80_VIBCB_1-124,121,tr|A7MZ81|A7MZ81_VIBCB_4-106,121
tr|A0A1E5EZC0|A0A1E5EZC0_9VIBR_2-124,122,tr|A0A1E5EZB4|A0A1E5EZB4_9VIBR_4-104,122
tr|A0A128FHP5|A0A128FHP5_9GAMM_1-124,123,tr|A0A128FJ68|A0A128FJ68_9GAMM_2-104,123
tr|A0A2N7I0J9|A0A2N7I0J9_9VIBR_2-124,124,tr|A0A2N7I0I8|A0A2N7I0I8_9VIBR_4-104,124
tr|A0A7Y4LN87|A0A7Y4LN87_9VIBR_1-124,125,tr|A0A7Y4LMX9|A0A7Y4LMX9_9VIBR_4-106,125
tr|A0A454CV53|A0A454CV53_VIBHA_1-124,126,tr|A0A8B3DGM4|A0A8B3DGM4_VIBHA_4-105,126
tr|A0A7R7HQ84|A0A7R7HQ84_9PSED_27-121,127,tr|A0A7R7D9K6|A0A7R7D9K6_9PSED_3-108,127
tr|A0A4U1YIH8|A0A4U1YIH8_9VIBR_2-124,128,tr|A0A4U1YHM6|A0A4U1YHM6_9VIBR_4-104,128
tr|A0A177XTX6|A0A177XTX6_9VIBR_4-124,129,tr|A0A177XTY9|A0A177XTY9_9VIBR_2-107,129
tr|A0A0H2MQI8|A0A0H2MQI8_9VIBR_4-124,130,tr|A0A0H2MQ33|A0A0H2MQ33_9VIBR_2-107,130
tr|A0A1H9KX26|A0A1H9KX26_9PSED_27-121,131,tr|A0A2V4HVV8|A0A2V4HVV8_9PSED_3-105,131
tr|A0A7U3PPP5|A0A7U3PPP5_9VIBR_4-124,132,tr|A0A7Y3Y5D4|A0A7Y3Y5D4_9VIBR_2-107,132
tr|A0A2W7L8C8|A0A2W7L8C8_9PSED_25-121,133,tr|A0A2W7KLI8|A0A2W7KLI8_9PSED_3-105,133
tr|A0A2V4LG54|A0A2V4LG54_9PSED_31-121,134,tr|A0A2V4LRL9|A0A2V4LRL9_9PSED_3-106,134
tr|A0A2V4IE40|A0A2V4IE40_9PSED_162-257,135,tr|A0A1H9KX61|A0A1H9KX61_9PSED_3-104,135
tr|A0A178JEX1|A0A178JEX1_9VIBR_4-124,136,tr|A0A178JFP4|A0A178JFP4_9VIBR_2-107,136
tr|A0A0H4A1D0|A0A0H4A1D0_VIBSP_4-124,137,tr|A0A0H3ZTE6|A0A0H3ZTE6_VIBSP_4-104,137
tr|A0A0H3ZVF1|A0A0H3ZVF1_9VIBR_4-124,138,tr|A0A0H4A225|A0A0H4A225_9VIBR_4-104,138
