id_1,index_1,id_2,index_2
H1106_A,0,H1106_B,0
sp|P0C2N4|YSCX_YEREN_1-122,1,sp|P0C2N2|YSCY_YEREN_1-114,1
sp|P61416|YSCX_YERPE_1-122,2,sp|P61417|YSCY_YERPE_1-114,2
sp|A1JU78|YSCX_YERE8_1-122,3,sp|A1JU77|YSCY_YERE8_1-113,3
tr|E8PSP2|E8PSP2_YERPE_1-122,4,tr|E8PSP1|E8PSP1_YERPE_1-114,4
tr|Q663K4|Q663K4_YERPS_1-122,5,tr|Q663K5|Q663K5_YERPS_1-114,5
tr|A0A142E283|A0A142E283_9GAMM_2-121,6,tr|A0A142E284|A0A142E284_9GAMM_2-111,6
tr|A5Y863|A5Y863_9GAMM_2-121,7,tr|A5Y864|A5Y864_9GAMM_1-113,7
tr|A4SUH4|A4SUH4_AERS4_2-121,8,tr|A4SUH3|A4SUH3_AERS4_1-113,8
tr|Q8GA93|Q8GA93_AERSA_2-121,9,tr|Q8GA92|Q8GA92_AERSA_1-113,9
tr|Q5CCA2|Q5CCA2_AERSO_2-121,10,tr|Q5CCA1|Q5CCA1_AERSO_1-113,10
tr|Q699R5|Q699R5_AERHY_2-121,11,tr|Q699R4|Q699R4_AERHY_1-113,11
tr|A0A2M8HCH8|A0A2M8HCH8_9GAMM_2-121,12,tr|A0A2M8HCH4|A0A2M8HCH4_9GAMM_2-111,12
tr|Q5XL09|Q5XL09_AERHY_2-121,13,tr|Q5XL08|Q5XL08_AERHY_2-112,13
tr|Q6TLM7|Q6TLM7_AERHY_5-124,14,tr|Q6TLM6|Q6TLM6_AERHY_1-113,14
tr|A0A081S1S8|A0A081S1S8_PHOTE_1-121,15,tr|A0A081S1S7|A0A081S1S7_PHOTE_2-104,15
tr|B6VK31|B6VK31_PHOAA_1-121,16,tr|B6VK30|B6VK30_PHOAA_2-104,16
tr|O30534|O30534_PSEAI_3-121,17,tr|O30535|O30535_PSEAI_2-106,17
tr|Q7N0W6|Q7N0W6_PHOLL_3-121,18,tr|Q7N0W7|Q7N0W7_PHOLL_2-103,18
tr|D0XFN4|D0XFN4_VIBH1_1-124,19,tr|D0XFN5|D0XFN5_VIBH1_4-105,19
tr|A8T5K9|A8T5K9_9VIBR_2-124,20,tr|A8T5K7|A8T5K7_9VIBR_4-105,20
tr|E3BLV1|E3BLV1_9VIBR_1-124,21,tr|E3BLV2|E3BLV2_9VIBR_4-105,21
tr|A7MZ80|A7MZ80_VIBCB_1-124,22,tr|A7MZ81|A7MZ81_VIBCB_4-106,22
tr|Q6QVR7|Q6QVR7_VIBHA_1-124,23,tr|Q6QVR8|Q6QVR8_VIBHA_4-106,23
tr|A0A2K1CKA0|A0A2K1CKA0_9VIBR_2-123,24,tr|A0A2K1CKA2|A0A2K1CKA2_9VIBR_2-105,24
tr|A0A559NGT0|A0A559NGT0_9VIBR_3-124,25,tr|A0A559NGT6|A0A559NGT6_9VIBR_4-106,25
tr|A0A2I3C4M4|A0A2I3C4M4_VIBAX_3-124,26,tr|A0A2I3C4M2|A0A2I3C4M2_VIBAX_4-106,26
tr|F9T798|F9T798_9VIBR_4-124,27,tr|F9T797|F9T797_9VIBR_2-105,27
tr|D0VFM4|D0VFM4_VIBAL_3-124,28,tr|D0VFM5|D0VFM5_VIBAL_4-106,28
tr|D0X1K1|D0X1K1_VIBAL_3-124,29,tr|D0X1K2|D0X1K2_VIBAL_4-106,29
tr|Q87P54|Q87P54_VIBPA_4-125,30,tr|Q87P55|Q87P55_VIBPA_3-111,30
